Entry	Reviewed	Entry Name	Protein names	Gene Names	Length	Gene Names (ordered locus)	Gene Names (primary)	Gene Names (ORF)	Proteomes
A0A1D8NJ52	unreviewed	A0A1D8NJ52_YARLL	Uncharacterized protein	YALI1_E23461g	78			YALI1_E23461g	UP000182444: Chromosome 1e
A0A1D8NJ53	unreviewed	A0A1D8NJ53_YARLL	Uncharacterized protein	YALI1_E23521g	157			YALI1_E23521g	UP000182444: Chromosome 1e
A0A1D8NJ54	unreviewed	A0A1D8NJ54_YARLL	OPT oligopeptide transporter protein-domain-containing protein	B0I71DRAFT_136315 YALI1_E23068g	876			B0I71DRAFT_136315 YALI1_E23068g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ56	unreviewed	A0A1D8NJ56_YARLL	Uncharacterized protein	YALI1_E23452g	152			YALI1_E23452g	UP000182444: Chromosome 1e
A0A1D8NJ57	unreviewed	A0A1D8NJ57_YARLL	40S ribosomal protein S26	B0I71DRAFT_137026 YALI1_E23610g	120			B0I71DRAFT_137026 YALI1_E23610g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ58	unreviewed	A0A1D8NJ58_YARLL	FHA domain-containing protein	YALI1_E23498g	93			YALI1_E23498g	UP000182444: Chromosome 1e
A0A1D8NJ59	unreviewed	A0A1D8NJ59_YARLL	Inositolphosphorylceramide synthase subunit Kei1-domain-containing protein	YALI1_E23525g	379			YALI1_E23525g	UP000182444: Chromosome 1e
A0A1D8NJ62	unreviewed	A0A1D8NJ62_YARLL	Uncharacterized protein	YALI1_E23659g	206			YALI1_E23659g	UP000182444: Chromosome 1e
A0A1D8NJ63	unreviewed	A0A1D8NJ63_YARLL	Uncharacterized protein	YALI1_E23629g	165			YALI1_E23629g	UP000182444: Chromosome 1e
A0A1D8NJ66	unreviewed	A0A1D8NJ66_YARLL	Uncharacterized protein	YALI1_E23736g	251			YALI1_E23736g	UP000182444: Chromosome 1e
A0A1D8NJ67	unreviewed	A0A1D8NJ67_YARLL	Luciferase-like domain-containing protein	YALI1_E23824g	533			YALI1_E23824g	UP000182444: Chromosome 1e
A0A1D8NJ68	unreviewed	A0A1D8NJ68_YARLL	Uncharacterized protein	B0I71DRAFT_10331 YALI1_E23555g	371			B0I71DRAFT_10331 YALI1_E23555g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ69	unreviewed	A0A1D8NJ69_YARLL	Chaperonin 10-like protein	B0I71DRAFT_167640 YALI1_E23809g	427			B0I71DRAFT_167640 YALI1_E23809g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ70	unreviewed	A0A1D8NJ70_YARLL	Uncharacterized protein	YALI1_E23781g	164			YALI1_E23781g	UP000182444: Chromosome 1e
A0A1D8NJ71	unreviewed	A0A1D8NJ71_YARLL	Cytochrome c oxidase	B0I71DRAFT_89920 YALI1_E23635g	162			B0I71DRAFT_89920 YALI1_E23635g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ72	unreviewed	A0A1D8NJ72_YARLL	Alpha/Beta hydrolase protein	B0I71DRAFT_136998 YALI1_E23790g	352			B0I71DRAFT_136998 YALI1_E23790g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ73	unreviewed	A0A1D8NJ73_YARLL	C2H2-type domain-containing protein	B0I71DRAFT_125589 YALI1_E23854g	402			B0I71DRAFT_125589 YALI1_E23854g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ76	unreviewed	A0A1D8NJ76_YARLL	AMMECR1 domain-containing protein	B0I71DRAFT_136975 YALI1_E23967g	200			B0I71DRAFT_136975 YALI1_E23967g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ78	unreviewed	A0A1D8NJ78_YARLL	Glycoside hydrolase superfamily	B0I71DRAFT_136977 YALI1_E23994g	857			B0I71DRAFT_136977 YALI1_E23994g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ82	unreviewed	A0A1D8NJ82_YARLL	Major facilitator superfamily (MFS) profile domain-containing protein	YALI1_E24113g	516			YALI1_E24113g	UP000182444: Chromosome 1e
A0A1D8NJ84	unreviewed	A0A1D8NJ84_YARLL	Uncharacterized protein	YALI1_E24052g	453			YALI1_E24052g	UP000182444: Chromosome 1e
A0A1D8NJ86	unreviewed	A0A1D8NJ86_YARLL	Cysteine-rich transmembrane domain-containing protein	B0I71DRAFT_127703 YALI1_E24174g	118			B0I71DRAFT_127703 YALI1_E24174g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJ87	unreviewed	A0A1D8NJ87_YARLL	Major facilitator superfamily (MFS) profile domain-containing protein	YALI1_E24245g	566			YALI1_E24245g	UP000182444: Chromosome 1e
A0A1D8NJ89	unreviewed	A0A1D8NJ89_YARLL	Uncharacterized protein	YALI1_E24201g	598			YALI1_E24201g	UP000182444: Chromosome 1e
A0A1D8NJ90	unreviewed	A0A1D8NJ90_YARLL	Secreted protein	YALI1_E24120g	162			YALI1_E24120g	UP000182444: Chromosome 1e
A0A1D8NJ93	unreviewed	A0A1D8NJ93_YARLL	Uncharacterized protein	YALI1_E24283g	166			YALI1_E24283g	UP000182444: Chromosome 1e
A0A1D8NJ94	unreviewed	A0A1D8NJ94_YARLL	Uncharacterized protein	YALI1_E24287g	489			YALI1_E24287g	UP000182444: Chromosome 1e
A0A1D8NJ95	unreviewed	A0A1D8NJ95_YARLL	Uncharacterized protein	YALI1_E24451g	66			YALI1_E24451g	UP000182444: Chromosome 1e
A0A1D8NJ98	unreviewed	A0A1D8NJ98_YARLL	Uncharacterized protein	YALI1_E24180g	84			YALI1_E24180g	UP000182444: Chromosome 1e
A0A1D8NJ99	unreviewed	A0A1D8NJ99_YARLL	Large ribosomal subunit protein uL4m	B0I71DRAFT_113555 YALI1_E24343g	271			B0I71DRAFT_113555 YALI1_E24343g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJA0	unreviewed	A0A1D8NJA0_YARLL	Uncharacterized protein	YALI1_E24383g	99			YALI1_E24383g	UP000182444: Chromosome 1e
A0A1D8NJA1	unreviewed	A0A1D8NJA1_YARLL	Alpha/Beta hydrolase protein	B0I71DRAFT_127714 YALI1_E24360g	338			B0I71DRAFT_127714 YALI1_E24360g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJA5	unreviewed	A0A1D8NJA5_YARLL	Secreted protein	YALI1_E24676g	185			YALI1_E24676g	UP000182444: Chromosome 1e
A0A1D8NJA7	unreviewed	A0A1D8NJA7_YARLL	Uncharacterized protein	YALI1_E24689g	68			YALI1_E24689g	UP000182444: Chromosome 1e
A0A1D8NJB2	unreviewed	A0A1D8NJB2_YARLL	Uncharacterized protein	YALI1_E24700g	150			YALI1_E24700g	UP000182444: Chromosome 1e
A0A1D8NJB5	unreviewed	A0A1D8NJB5_YARLL	Uncharacterized protein	YALI1_E24713g	116			YALI1_E24713g	UP000182444: Chromosome 1e
A0A1D8NJB7	unreviewed	A0A1D8NJB7_YARLL	DUF1772-domain-containing protein	YALI1_E24719g	156			YALI1_E24719g	UP000182444: Chromosome 1e
A0A1D8NJB8	unreviewed	A0A1D8NJB8_YARLL	Uncharacterized protein	YALI1_E24847g	100			YALI1_E24847g	UP000182444: Chromosome 1e
A0A1D8NJC5	unreviewed	A0A1D8NJC5_YARLL	Uncharacterized protein	YALI1_E25107g	224			YALI1_E25107g	UP000182444: Chromosome 1e
A0A1D8NJC7	unreviewed	A0A1D8NJC7_YARLL	Uncharacterized protein	B0I71DRAFT_77604 YALI1_E25132g	281			B0I71DRAFT_77604 YALI1_E25132g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJC9	unreviewed	A0A1D8NJC9_YARLL	Uncharacterized protein	YALI1_E24956g	614			YALI1_E24956g	UP000182444: Chromosome 1e
A0A1D8NJD1	unreviewed	A0A1D8NJD1_YARLL	Uncharacterized protein	YALI1_E24812g	67			YALI1_E24812g	UP000182444: Chromosome 1e
A0A1D8NJD5	unreviewed	A0A1D8NJD5_YARLL	Secreted protein	YALI1_E25126g	92			YALI1_E25126g	UP000182444: Chromosome 1e
A0A1D8NJE0	unreviewed	A0A1D8NJE0_YARLL	GC-rich sequence DNA-binding factor-like protein-domain-containing protein	B0I71DRAFT_127793 YALI1_E25485g	721			B0I71DRAFT_127793 YALI1_E25485g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJE5	unreviewed	A0A1D8NJE5_YARLL	Uncharacterized protein	B0I71DRAFT_3566 YALI1_E25640g	577			B0I71DRAFT_3566 YALI1_E25640g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJE7	unreviewed	A0A1D8NJE7_YARLL	Uncharacterized protein	YALI1_E25617g	592			YALI1_E25617g	UP000182444: Chromosome 1e
A0A1D8NJE8	unreviewed	A0A1D8NJE8_YARLL	Pyridoxal phosphate-dependent transferase	B0I71DRAFT_127800 YALI1_E25585g	780			B0I71DRAFT_127800 YALI1_E25585g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJE9	unreviewed	A0A1D8NJE9_YARLL	Uncharacterized protein	B0I71DRAFT_127799 YALI1_E25549g	299			B0I71DRAFT_127799 YALI1_E25549g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJF3	unreviewed	A0A1D8NJF3_YARLL	Uncharacterized protein	YALI1_E25622g	104			YALI1_E25622g	UP000182444: Chromosome 1e
A0A1D8NJF9	unreviewed	A0A1D8NJF9_YARLL	Uncharacterized protein	YALI1_E25537g	165			YALI1_E25537g	UP000182444: Chromosome 1e
A0A1D8NJG0	unreviewed	A0A1D8NJG0_YARLL	UNC-45/Cro1/She4 central domain-containing protein	YALI1_E25729g	689			YALI1_E25729g	UP000182444: Chromosome 1e
A0A1D8NJG1	unreviewed	A0A1D8NJG1_YARLL	HIT-like domain-containing protein	B0I71DRAFT_127815 YALI1_E25889g	211			B0I71DRAFT_127815 YALI1_E25889g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJG2	unreviewed	A0A1D8NJG2_YARLL	Uncharacterized protein	YALI1_E26094g	170			YALI1_E26094g	UP000182444: Chromosome 1e
A0A1D8NJG7	unreviewed	A0A1D8NJG7_YARLL	tRNA A64-2'-O-ribosylphosphate transferase	B0I71DRAFT_127823 YALI1_E25995g	427			B0I71DRAFT_127823 YALI1_E25995g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJH0	unreviewed	A0A1D8NJH0_YARLL	BRCT domain-containing protein	YALI1_E25964g	590			YALI1_E25964g	UP000182444: Chromosome 1e
A0A1D8NJH1	unreviewed	A0A1D8NJH1_YARLL	Uncharacterized protein	B0I71DRAFT_127831 YALI1_E26118g	254			B0I71DRAFT_127831 YALI1_E26118g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJH5	unreviewed	A0A1D8NJH5_YARLL	Uncharacterized protein	YALI1_E26257g	280			YALI1_E26257g	UP000182444: Chromosome 1e
A0A1D8NJH6	unreviewed	A0A1D8NJH6_YARLL	Uncharacterized protein	B0I71DRAFT_132398 YALI1_E26433g	187			B0I71DRAFT_132398 YALI1_E26433g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJH8	unreviewed	A0A1D8NJH8_YARLL	Uncharacterized protein	B0I71DRAFT_132400 YALI1_E26472g	612			B0I71DRAFT_132400 YALI1_E26472g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJH9	unreviewed	A0A1D8NJH9_YARLL	Uncharacterized protein	YALI1_E26450g	97			YALI1_E26450g	UP000182444: Chromosome 1e
A0A1D8NJI0	unreviewed	A0A1D8NJI0_YARLL	Uncharacterized protein	B0I71DRAFT_127829 YALI1_E26076g	404			B0I71DRAFT_127829 YALI1_E26076g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJI2	unreviewed	A0A1D8NJI2_YARLL	Uncharacterized protein	B0I71DRAFT_127836 YALI1_E26229g	199			B0I71DRAFT_127836 YALI1_E26229g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJI3	unreviewed	A0A1D8NJI3_YARLL	Uncharacterized protein	B0I71DRAFT_132393 YALI1_E26320g	498			B0I71DRAFT_132393 YALI1_E26320g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJI6	unreviewed	A0A1D8NJI6_YARLL	Uncharacterized protein	YALI1_E26532g	147			YALI1_E26532g	UP000182444: Chromosome 1e
A0A1D8NJI7	unreviewed	A0A1D8NJI7_YARLL	Uncharacterized protein	YALI1_E26790g	89			YALI1_E26790g	UP000182444: Chromosome 1e
A0A1D8NJI8	unreviewed	A0A1D8NJI8_YARLL	Telomere-associated protein Rif1 N-terminal domain-containing protein	YALI1_E26742g	1201			YALI1_E26742g	UP000182444: Chromosome 1e
A0A1D8NJJ2	unreviewed	A0A1D8NJJ2_YARLL	Class I glutamine amidotransferase-like protein	B0I71DRAFT_132404 YALI1_E26525g	242			B0I71DRAFT_132404 YALI1_E26525g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJJ3	unreviewed	A0A1D8NJJ3_YARLL	Transmembrane amino acid transporter protein-domain-containing protein	B0I71DRAFT_132406 YALI1_E26551g	478			B0I71DRAFT_132406 YALI1_E26551g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJJ4	unreviewed	A0A1D8NJJ4_YARLL	Cell wall protein	YALI1_E26492g	261			YALI1_E26492g	UP000182444: Chromosome 1e
A0A1D8NJJ5	unreviewed	A0A1D8NJJ5_YARLL	Autophagy protein 16	B0I71DRAFT_39680 YALI1_E26892g	94			B0I71DRAFT_39680 YALI1_E26892g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJJ6	unreviewed	A0A1D8NJJ6_YARLL	XPG-I domain-containing protein	B0I71DRAFT_39668 YALI1_E26860g	745			B0I71DRAFT_39668 YALI1_E26860g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJJ7	unreviewed	A0A1D8NJJ7_YARLL	DUF3955 domain-containing protein	YALI1_E26971g	412			YALI1_E26971g	UP000182444: Chromosome 1e
A0A1D8NJJ9	unreviewed	A0A1D8NJJ9_YARLL	SUN domain-containing protein	B0I71DRAFT_132437 YALI1_E26987g	724			B0I71DRAFT_132437 YALI1_E26987g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJK4	unreviewed	A0A1D8NJK4_YARLL	Peptide chain release factor 1, mitochondrial	B0I71DRAFT_132430 YALI1_E26900g	389			B0I71DRAFT_132430 YALI1_E26900g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJK5	unreviewed	A0A1D8NJK5_YARLL	NO signaling/Golgi transport ligand-binding domain-containing protein	B0I71DRAFT_132440 YALI1_E27076g	191			B0I71DRAFT_132440 YALI1_E27076g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJK7	unreviewed	A0A1D8NJK7_YARLL	Uncharacterized protein	B0I71DRAFT_83422 YALI1_E27182g	382			B0I71DRAFT_83422 YALI1_E27182g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJK8	unreviewed	A0A1D8NJK8_YARLL	Uncharacterized protein	YALI1_E26916g	104			YALI1_E26916g	UP000182444: Chromosome 1e
A0A1D8NJM1	unreviewed	A0A1D8NJM1_YARLL	Uncharacterized protein	YALI1_E27218g	195			YALI1_E27218g	UP000182444: Chromosome 1e
A0A1D8NJM3	unreviewed	A0A1D8NJM3_YARLL	Uncharacterized protein	YALI1_E27610g	157			YALI1_E27610g	UP000182444: Chromosome 1e
A0A1D8NJM8	unreviewed	A0A1D8NJM8_YARLL	Acyl-CoA-binding protein	B0I71DRAFT_132458 YALI1_E27279g	86			B0I71DRAFT_132458 YALI1_E27279g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJM9	unreviewed	A0A1D8NJM9_YARLL	Calcineurin-like phosphoesterase domain-containing protein	YALI1_E27532g	601			YALI1_E27532g	UP000182444: Chromosome 1e
A0A1D8NJN0	unreviewed	A0A1D8NJN0_YARLL	Uncharacterized protein	YALI1_E27604g	174			YALI1_E27604g	UP000182444: Chromosome 1e
A0A1D8NJN1	unreviewed	A0A1D8NJN1_YARLL	Uncharacterized protein	YALI1_E27469g	128			YALI1_E27469g	UP000182444: Chromosome 1e
A0A1D8NJN3	unreviewed	A0A1D8NJN3_YARLL	Uncharacterized protein	YALI1_E27805g	173			YALI1_E27805g	UP000182444: Chromosome 1e
A0A1D8NJN5	unreviewed	A0A1D8NJN5_YARLL	Luciferase-like domain-containing protein	YALI1_E27625g	510			YALI1_E27625g	UP000182444: Chromosome 1e
A0A1D8NJN6	unreviewed	A0A1D8NJN6_YARLL	Uncharacterized protein	YALI1_E27792g	91			YALI1_E27792g	UP000182444: Chromosome 1e
A0A1D8NJP0	unreviewed	A0A1D8NJP0_YARLL	Thioredoxin-like protein	B0I71DRAFT_86743 YALI1_E27791g	199			B0I71DRAFT_86743 YALI1_E27791g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJP2	unreviewed	A0A1D8NJP2_YARLL	Uncharacterized protein	YALI1_E27622g	125			YALI1_E27622g	UP000182444: Chromosome 1e
A0A1D8NJP3	unreviewed	A0A1D8NJP3_YARLL	Uncharacterized protein	YALI1_E27976g	94			YALI1_E27976g	UP000182444: Chromosome 1e
A0A1D8NJP4	unreviewed	A0A1D8NJP4_YARLL	Uncharacterized protein	YALI1_E27846g	116			YALI1_E27846g	UP000182444: Chromosome 1e
A0A1D8NJP5	unreviewed	A0A1D8NJP5_YARLL	Uncharacterized protein	YALI1_E27930g	157			YALI1_E27930g	UP000182444: Chromosome 1e
A0A1D8NJP6	unreviewed	A0A1D8NJP6_YARLL	Uncharacterized protein	YALI1_E27756g	80			YALI1_E27756g	UP000182444: Chromosome 1e
A0A1D8NJP9	unreviewed	A0A1D8NJP9_YARLL	Uncharacterized protein	YALI1_E27834g	179			YALI1_E27834g	UP000182444: Chromosome 1e
A0A1D8NJQ0	unreviewed	A0A1D8NJQ0_YARLL	60S ribosomal protein L30	B0I71DRAFT_134839 YALI1_E27871g	108			B0I71DRAFT_134839 YALI1_E27871g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJQ1	unreviewed	A0A1D8NJQ1_YARLL	Uncharacterized protein	YALI1_E27826g	231			YALI1_E27826g	UP000182444: Chromosome 1e
A0A1D8NJQ2	unreviewed	A0A1D8NJQ2_YARLL	Uncharacterized protein	YALI1_E27840g	69			YALI1_E27840g	UP000182444: Chromosome 1e
A0A1D8NJQ3	unreviewed	A0A1D8NJQ3_YARLL	PQ loop repeat-domain-containing protein	B0I71DRAFT_131416 YALI1_E28150g	301			B0I71DRAFT_131416 YALI1_E28150g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJQ4	unreviewed	A0A1D8NJQ4_YARLL	Shr3 amino acid permease chaperone	B0I71DRAFT_131408 YALI1_E28046g	190			B0I71DRAFT_131408 YALI1_E28046g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJQ5	unreviewed	A0A1D8NJQ5_YARLL	Uncharacterized protein	YALI1_E28052g	71			YALI1_E28052g	UP000182444: Chromosome 1e
A0A1D8NJQ6	unreviewed	A0A1D8NJQ6_YARLL	Uncharacterized protein	YALI1_E27997g	453			YALI1_E27997g	UP000182444: Chromosome 1e
A0A1D8NJQ7	unreviewed	A0A1D8NJQ7_YARLL	60S ribosomal protein L24	B0I71DRAFT_134840 YALI1_E27880g	155			B0I71DRAFT_134840 YALI1_E27880g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJQ9	unreviewed	A0A1D8NJQ9_YARLL	Uncharacterized protein	YALI1_E27774g	90			YALI1_E27774g	UP000182444: Chromosome 1e
A0A1D8NJR0	unreviewed	A0A1D8NJR0_YARLL	Uncharacterized protein	B0I71DRAFT_131413 YALI1_E28107g	78			B0I71DRAFT_131413 YALI1_E28107g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJR2	unreviewed	A0A1D8NJR2_YARLL	Secreted protein	YALI1_E27981g	100			YALI1_E27981g	UP000182444: Chromosome 1e
A0A1D8NJR3	unreviewed	A0A1D8NJR3_YARLL	Uncharacterized protein	B0I71DRAFT_131428 YALI1_E28428g	355			B0I71DRAFT_131428 YALI1_E28428g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJR4	unreviewed	A0A1D8NJR4_YARLL	Uncharacterized protein	YALI1_E28070g	66			YALI1_E28070g	UP000182444: Chromosome 1e
A0A1D8NJR6	unreviewed	A0A1D8NJR6_YARLL	Uncharacterized protein	YALI1_E28259g	117			YALI1_E28259g	UP000182444: Chromosome 1e
A0A1D8NJR7	unreviewed	A0A1D8NJR7_YARLL	Uncharacterized protein	YALI1_E28224g	99			YALI1_E28224g	UP000182444: Chromosome 1e
A0A1D8NJR8	unreviewed	A0A1D8NJR8_YARLL	Uncharacterized protein	YALI1_E28425g	125			YALI1_E28425g	UP000182444: Chromosome 1e
A0A1D8NJR9	unreviewed	A0A1D8NJR9_YARLL	Secreted protein	YALI1_E28405g	80			YALI1_E28405g	UP000182444: Chromosome 1e
A0A1D8NJS0	unreviewed	A0A1D8NJS0_YARLL	Transmembrane protein	YALI1_E27927g	313			YALI1_E27927g	UP000182444: Chromosome 1e
A0A1D8NJS1	unreviewed	A0A1D8NJS1_YARLL	Pentatricopeptide repeat-containing protein	B0I71DRAFT_131420 YALI1_E28213g	782			B0I71DRAFT_131420 YALI1_E28213g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJS6	unreviewed	A0A1D8NJS6_YARLL	Uncharacterized protein	YALI1_E28504g	97			YALI1_E28504g	UP000182444: Chromosome 1e
A0A1D8NJS7	unreviewed	A0A1D8NJS7_YARLL	Uncharacterized protein	YALI1_E28491g	68			YALI1_E28491g	UP000182444: Chromosome 1e
A0A1D8NJT1	unreviewed	A0A1D8NJT1_YARLL	UAA transporter	B0I71DRAFT_131442 YALI1_E28736g	370			B0I71DRAFT_131442 YALI1_E28736g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJT2	unreviewed	A0A1D8NJT2_YARLL	Uncharacterized protein	YALI1_E28879g	192			YALI1_E28879g	UP000182444: Chromosome 1e
A0A1D8NJT3	unreviewed	A0A1D8NJT3_YARLL	Uncharacterized protein	YALI1_E28439g	92			YALI1_E28439g	UP000182444: Chromosome 1e
A0A1D8NJT4	unreviewed	A0A1D8NJT4_YARLL	ATP-NAD kinase-like domain-containing protein	B0I71DRAFT_131432 YALI1_E28545g	426			B0I71DRAFT_131432 YALI1_E28545g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJT5	unreviewed	A0A1D8NJT5_YARLL	Mid2 domain-containing protein	YALI1_E28490g	376			YALI1_E28490g	UP000182444: Chromosome 1e
A0A1D8NJT6	unreviewed	A0A1D8NJT6_YARLL	Secreted protein	YALI1_E28790g	95			YALI1_E28790g	UP000182444: Chromosome 1e
A0A1D8NJT8	unreviewed	A0A1D8NJT8_YARLL	Secreted protein	YALI1_E28397g	133			YALI1_E28397g	UP000182444: Chromosome 1e
A0A1D8NJT9	unreviewed	A0A1D8NJT9_YARLL	Uncharacterized protein	YALI1_E28855g	160			YALI1_E28855g	UP000182444: Chromosome 1e
A0A1D8NJU0	unreviewed	A0A1D8NJU0_YARLL	Transcription factor domain-containing protein	YALI1_E28919g	732			YALI1_E28919g	UP000182444: Chromosome 1e
A0A1D8NJU1	unreviewed	A0A1D8NJU1_YARLL	Uncharacterized protein	YALI1_E28863g	158			YALI1_E28863g	UP000182444: Chromosome 1e
A0A1D8NJU3	unreviewed	A0A1D8NJU3_YARLL	F-box domain-containing protein	YALI1_E28808g	400			YALI1_E28808g	UP000182444: Chromosome 1e
A0A1D8NJU5	unreviewed	A0A1D8NJU5_YARLL	Uncharacterized protein	YALI1_E28680g	1456			YALI1_E28680g	UP000182444: Chromosome 1e
A0A1D8NJU6	unreviewed	A0A1D8NJU6_YARLL	Uncharacterized protein	YALI1_E29065g	105			YALI1_E29065g	UP000182444: Chromosome 1e
A0A1D8NJV0	unreviewed	A0A1D8NJV0_YARLL	Pentacotripeptide-repeat region of PRORP domain-containing protein	YALI1_E28999g	851			YALI1_E28999g	UP000182444: Chromosome 1e
A0A1D8NJV1	unreviewed	A0A1D8NJV1_YARLL	Cx9C motif-containing protein 4, mitochondrial	B0I71DRAFT_131459 YALI1_E29074g	89			B0I71DRAFT_131459 YALI1_E29074g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJV5	unreviewed	A0A1D8NJV5_YARLL	rRNA-processing protein FYV7	B0I71DRAFT_131456 YALI1_E29005g	229			B0I71DRAFT_131456 YALI1_E29005g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJV8	unreviewed	A0A1D8NJV8_YARLL	Zn(2)-C6 fungal-type domain-containing protein	YALI1_E28903g	307			YALI1_E28903g	UP000182444: Chromosome 1e
A0A1D8NJW2	unreviewed	A0A1D8NJW2_YARLL	WD40-repeat-containing domain protein	B0I71DRAFT_132313 YALI1_E29642g	406			B0I71DRAFT_132313 YALI1_E29642g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJW3	unreviewed	A0A1D8NJW3_YARLL	Uncharacterized protein	B0I71DRAFT_132311 YALI1_E29611g	154			B0I71DRAFT_132311 YALI1_E29611g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJW5	unreviewed	A0A1D8NJW5_YARLL	Uncharacterized protein	YALI1_E29512g	330			YALI1_E29512g	UP000182444: Chromosome 1e
A0A1D8NJW7	unreviewed	A0A1D8NJW7_YARLL	60S ribosomal protein L31	B0I71DRAFT_131463 YALI1_E29150g	116			B0I71DRAFT_131463 YALI1_E29150g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJW8	unreviewed	A0A1D8NJW8_YARLL	Mono-functional DNA-alkylating methyl methanesulfonate N-term-domain-containing protein	B0I71DRAFT_174631 YALI1_E29046g	1117			B0I71DRAFT_174631 YALI1_E29046g	UP000182444: Chromosome 1e; UP000256601: Unassembled WGS sequence
A0A1D8NJW9	unreviewed	A0A1D8NJW9_YARLL	Secreted protein	YALI1_E29115g	85			YALI1_E29115g	UP000182444: Chromosome 1e
A0A1D8NJX3	unreviewed	A0A1D8NJX3_YARLL	Uncharacterized protein	YALI1_E29557g	845			YALI1_E29557g	UP000182444: Chromosome 1e
A0A1D8NJX4	unreviewed	A0A1D8NJX4_YARLL	Uncharacterized protein	YALI1_E29221g	553			YALI1_E29221g	UP000182444: Chromosome 1e
A0A1D8NJX5	unreviewed	A0A1D8NJX5_YARLL	Uncharacterized protein	YALI1_E29900g	94			YALI1_E29900g	UP000182444: Chromosome 1e
