,#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type,gotermId,gotermType,goName,goAcc
3532,5947,2.3.1.-,Transferring groups other than amino-acyl groups.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC,"[2585, 2803, 2804, 5765, 6038, 6075, 6565, 9635, 9636, 9637, 9638, 9639, 9640, 9641, 9642, 9643, 9644, 9645, 9646, 9647, 9648, 9649, 9676, 9947, 9948, 9949, 9950, 9951, 9952, 10381, 10382, 11014, 11015, 11016, 11390, 11391, 11465, 11963, 11964, 11965, 15051, 19206, 19228, 19270, 19313, 21363]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['dihydrolipoamide branched chain acyltransferase activity', 'H2A/H2B histone acetyltransferase activity', 'H3/H4 histone acetyltransferase activity', 'N-acetyltransferase activity', 'O-acyltransferase activity', 'acyltransferase activity', 'palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity', 'carnitine O-acyltransferase activity', 'acetyltransferase activity', 'C-acyltransferase activity', 'palmitoyltransferase activity', 'N-acyltransferase activity', 'acylglycerol O-acyltransferase activity', 'serine O-acyltransferase activity', 'O-acetyltransferase activity', 'O-octanoyltransferase activity', 'octanoyltransferase activity', 'O-palmitoyltransferase activity', 'S-acyltransferase activity', 'S-acetyltransferase activity', 'S-malonyltransferase activity', 'malonyltransferase activity', 'C-palmitoyltransferase activity', 'succinyltransferase activity', 'N-succinyltransferase activity', 'O-succinyltransferase activity', 'S-succinyltransferase activity', 'sinapoyltransferase activity', 'O-sinapoyltransferase activity', 'peptidyl-lysine N6-myristoyltransferase activity', 'peptidyl-lysine N6-palmitoyltransferase activity', 'benzoyl acetate-CoA thiolase activity', '3-hydroxybutyryl-CoA thiolase activity', '3-ketopimelyl-CoA thiolase activity', 'N-palmitoyltransferase activity', 'myristoyltransferase activity', 'acyl-CoA N-acyltransferase activity', 'protein-cysteine S-myristoyltransferase activity', 'protein-cysteine S-palmitoleyltransferase activity', 'protein-cysteine S-acyltransferase activity', 'glucosaminyl-phosphotidylinositol O-acyltransferase activity', 'L-2-aminoadipate N-acetyltransferase activity', 'UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity', 'keto acid formate lyase activity', 'Ras palmitoyltransferase activity', 'azetidine-2-carboxylic acid acetyltransferase activity']","['GO:0004147', 'GO:0004405', 'GO:0004406', 'GO:0008080', 'GO:0008374', 'GO:0008415', 'GO:0008951', 'GO:0016406', 'GO:0016407', 'GO:0016408', 'GO:0016409', 'GO:0016410', 'GO:0016411', 'GO:0016412', 'GO:0016413', 'GO:0016414', 'GO:0016415', 'GO:0016416', 'GO:0016417', 'GO:0016418', 'GO:0016419', 'GO:0016420', 'GO:0016454', 'GO:0016748', 'GO:0016749', 'GO:0016750', 'GO:0016751', 'GO:0016752', 'GO:0016753', 'GO:0018030', 'GO:0018031', 'GO:0018711', 'GO:0018712', 'GO:0018713', 'GO:0019105', 'GO:0019107', 'GO:0019186', 'GO:0019705', 'GO:0019706', 'GO:0019707', 'GO:0032216', 'GO:0043741', 'GO:0043764', 'GO:0043806', 'GO:0043849', 'GO:0046941']"
3533,5947,2.3.1.-,Transferring groups other than amino-acyl groups.,\N,\N,\N,D-Arginine and D-ornithine metabolism,Metabolism of Other Amino Acids,METABOLIC,"[2585, 2803, 2804, 5765, 6038, 6075, 6565, 9635, 9636, 9637, 9638, 9639, 9640, 9641, 9642, 9643, 9644, 9645, 9646, 9647, 9648, 9649, 9676, 9947, 9948, 9949, 9950, 9951, 9952, 10381, 10382, 11014, 11015, 11016, 11390, 11391, 11465, 11963, 11964, 11965, 15051, 19206, 19228, 19270, 19313, 21363]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['dihydrolipoamide branched chain acyltransferase activity', 'H2A/H2B histone acetyltransferase activity', 'H3/H4 histone acetyltransferase activity', 'N-acetyltransferase activity', 'O-acyltransferase activity', 'acyltransferase activity', 'palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity', 'carnitine O-acyltransferase activity', 'acetyltransferase activity', 'C-acyltransferase activity', 'palmitoyltransferase activity', 'N-acyltransferase activity', 'acylglycerol O-acyltransferase activity', 'serine O-acyltransferase activity', 'O-acetyltransferase activity', 'O-octanoyltransferase activity', 'octanoyltransferase activity', 'O-palmitoyltransferase activity', 'S-acyltransferase activity', 'S-acetyltransferase activity', 'S-malonyltransferase activity', 'malonyltransferase activity', 'C-palmitoyltransferase activity', 'succinyltransferase activity', 'N-succinyltransferase activity', 'O-succinyltransferase activity', 'S-succinyltransferase activity', 'sinapoyltransferase activity', 'O-sinapoyltransferase activity', 'peptidyl-lysine N6-myristoyltransferase activity', 'peptidyl-lysine N6-palmitoyltransferase activity', 'benzoyl acetate-CoA thiolase activity', '3-hydroxybutyryl-CoA thiolase activity', '3-ketopimelyl-CoA thiolase activity', 'N-palmitoyltransferase activity', 'myristoyltransferase activity', 'acyl-CoA N-acyltransferase activity', 'protein-cysteine S-myristoyltransferase activity', 'protein-cysteine S-palmitoleyltransferase activity', 'protein-cysteine S-acyltransferase activity', 'glucosaminyl-phosphotidylinositol O-acyltransferase activity', 'L-2-aminoadipate N-acetyltransferase activity', 'UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity', 'keto acid formate lyase activity', 'Ras palmitoyltransferase activity', 'azetidine-2-carboxylic acid acetyltransferase activity']","['GO:0004147', 'GO:0004405', 'GO:0004406', 'GO:0008080', 'GO:0008374', 'GO:0008415', 'GO:0008951', 'GO:0016406', 'GO:0016407', 'GO:0016408', 'GO:0016409', 'GO:0016410', 'GO:0016411', 'GO:0016412', 'GO:0016413', 'GO:0016414', 'GO:0016415', 'GO:0016416', 'GO:0016417', 'GO:0016418', 'GO:0016419', 'GO:0016420', 'GO:0016454', 'GO:0016748', 'GO:0016749', 'GO:0016750', 'GO:0016751', 'GO:0016752', 'GO:0016753', 'GO:0018030', 'GO:0018031', 'GO:0018711', 'GO:0018712', 'GO:0018713', 'GO:0019105', 'GO:0019107', 'GO:0019186', 'GO:0019705', 'GO:0019706', 'GO:0019707', 'GO:0032216', 'GO:0043741', 'GO:0043764', 'GO:0043806', 'GO:0043849', 'GO:0046941']"
3534,5947,2.3.1.-,Transferring groups other than amino-acyl groups.,\N,\N,\N,Histidine metabolism,Amino Acid Metabolism,METABOLIC,"[2585, 2803, 2804, 5765, 6038, 6075, 6565, 9635, 9636, 9637, 9638, 9639, 9640, 9641, 9642, 9643, 9644, 9645, 9646, 9647, 9648, 9649, 9676, 9947, 9948, 9949, 9950, 9951, 9952, 10381, 10382, 11014, 11015, 11016, 11390, 11391, 11465, 11963, 11964, 11965, 15051, 19206, 19228, 19270, 19313, 21363]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['dihydrolipoamide branched chain acyltransferase activity', 'H2A/H2B histone acetyltransferase activity', 'H3/H4 histone acetyltransferase activity', 'N-acetyltransferase activity', 'O-acyltransferase activity', 'acyltransferase activity', 'palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity', 'carnitine O-acyltransferase activity', 'acetyltransferase activity', 'C-acyltransferase activity', 'palmitoyltransferase activity', 'N-acyltransferase activity', 'acylglycerol O-acyltransferase activity', 'serine O-acyltransferase activity', 'O-acetyltransferase activity', 'O-octanoyltransferase activity', 'octanoyltransferase activity', 'O-palmitoyltransferase activity', 'S-acyltransferase activity', 'S-acetyltransferase activity', 'S-malonyltransferase activity', 'malonyltransferase activity', 'C-palmitoyltransferase activity', 'succinyltransferase activity', 'N-succinyltransferase activity', 'O-succinyltransferase activity', 'S-succinyltransferase activity', 'sinapoyltransferase activity', 'O-sinapoyltransferase activity', 'peptidyl-lysine N6-myristoyltransferase activity', 'peptidyl-lysine N6-palmitoyltransferase activity', 'benzoyl acetate-CoA thiolase activity', '3-hydroxybutyryl-CoA thiolase activity', '3-ketopimelyl-CoA thiolase activity', 'N-palmitoyltransferase activity', 'myristoyltransferase activity', 'acyl-CoA N-acyltransferase activity', 'protein-cysteine S-myristoyltransferase activity', 'protein-cysteine S-palmitoleyltransferase activity', 'protein-cysteine S-acyltransferase activity', 'glucosaminyl-phosphotidylinositol O-acyltransferase activity', 'L-2-aminoadipate N-acetyltransferase activity', 'UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity', 'keto acid formate lyase activity', 'Ras palmitoyltransferase activity', 'azetidine-2-carboxylic acid acetyltransferase activity']","['GO:0004147', 'GO:0004405', 'GO:0004406', 'GO:0008080', 'GO:0008374', 'GO:0008415', 'GO:0008951', 'GO:0016406', 'GO:0016407', 'GO:0016408', 'GO:0016409', 'GO:0016410', 'GO:0016411', 'GO:0016412', 'GO:0016413', 'GO:0016414', 'GO:0016415', 'GO:0016416', 'GO:0016417', 'GO:0016418', 'GO:0016419', 'GO:0016420', 'GO:0016454', 'GO:0016748', 'GO:0016749', 'GO:0016750', 'GO:0016751', 'GO:0016752', 'GO:0016753', 'GO:0018030', 'GO:0018031', 'GO:0018711', 'GO:0018712', 'GO:0018713', 'GO:0019105', 'GO:0019107', 'GO:0019186', 'GO:0019705', 'GO:0019706', 'GO:0019707', 'GO:0032216', 'GO:0043741', 'GO:0043764', 'GO:0043806', 'GO:0043849', 'GO:0046941']"
3535,5947,2.3.1.-,Transferring groups other than amino-acyl groups.,\N,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC,"[2585, 2803, 2804, 5765, 6038, 6075, 6565, 9635, 9636, 9637, 9638, 9639, 9640, 9641, 9642, 9643, 9644, 9645, 9646, 9647, 9648, 9649, 9676, 9947, 9948, 9949, 9950, 9951, 9952, 10381, 10382, 11014, 11015, 11016, 11390, 11391, 11465, 11963, 11964, 11965, 15051, 19206, 19228, 19270, 19313, 21363]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['dihydrolipoamide branched chain acyltransferase activity', 'H2A/H2B histone acetyltransferase activity', 'H3/H4 histone acetyltransferase activity', 'N-acetyltransferase activity', 'O-acyltransferase activity', 'acyltransferase activity', 'palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity', 'carnitine O-acyltransferase activity', 'acetyltransferase activity', 'C-acyltransferase activity', 'palmitoyltransferase activity', 'N-acyltransferase activity', 'acylglycerol O-acyltransferase activity', 'serine O-acyltransferase activity', 'O-acetyltransferase activity', 'O-octanoyltransferase activity', 'octanoyltransferase activity', 'O-palmitoyltransferase activity', 'S-acyltransferase activity', 'S-acetyltransferase activity', 'S-malonyltransferase activity', 'malonyltransferase activity', 'C-palmitoyltransferase activity', 'succinyltransferase activity', 'N-succinyltransferase activity', 'O-succinyltransferase activity', 'S-succinyltransferase activity', 'sinapoyltransferase activity', 'O-sinapoyltransferase activity', 'peptidyl-lysine N6-myristoyltransferase activity', 'peptidyl-lysine N6-palmitoyltransferase activity', 'benzoyl acetate-CoA thiolase activity', '3-hydroxybutyryl-CoA thiolase activity', '3-ketopimelyl-CoA thiolase activity', 'N-palmitoyltransferase activity', 'myristoyltransferase activity', 'acyl-CoA N-acyltransferase activity', 'protein-cysteine S-myristoyltransferase activity', 'protein-cysteine S-palmitoleyltransferase activity', 'protein-cysteine S-acyltransferase activity', 'glucosaminyl-phosphotidylinositol O-acyltransferase activity', 'L-2-aminoadipate N-acetyltransferase activity', 'UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity', 'keto acid formate lyase activity', 'Ras palmitoyltransferase activity', 'azetidine-2-carboxylic acid acetyltransferase activity']","['GO:0004147', 'GO:0004405', 'GO:0004406', 'GO:0008080', 'GO:0008374', 'GO:0008415', 'GO:0008951', 'GO:0016406', 'GO:0016407', 'GO:0016408', 'GO:0016409', 'GO:0016410', 'GO:0016411', 'GO:0016412', 'GO:0016413', 'GO:0016414', 'GO:0016415', 'GO:0016416', 'GO:0016417', 'GO:0016418', 'GO:0016419', 'GO:0016420', 'GO:0016454', 'GO:0016748', 'GO:0016749', 'GO:0016750', 'GO:0016751', 'GO:0016752', 'GO:0016753', 'GO:0018030', 'GO:0018031', 'GO:0018711', 'GO:0018712', 'GO:0018713', 'GO:0019105', 'GO:0019107', 'GO:0019186', 'GO:0019705', 'GO:0019706', 'GO:0019707', 'GO:0032216', 'GO:0043741', 'GO:0043764', 'GO:0043806', 'GO:0043849', 'GO:0046941']"
3536,5948,1.2.4.1,Pyruvate dehydrogenase (lipoamide).,Pyruvate + lipoamide = S-acetyldihydrolipoamide + CO(2).,Thiamine pyrophosphate.,Ataxia with lactic acidosis I; MIM:208800.,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC,"[2290, 5830, 3105]","['molecular_function', 'biological_process', 'molecular_function']","['catalytic activity', 'metabolic process', 'pyruvate dehydrogenase (acetyl-transferring) activity']","['GO:0003824', 'GO:0008152', 'GO:0004739']"
3537,5948,1.2.4.1,Pyruvate dehydrogenase (lipoamide).,Pyruvate + lipoamide = S-acetyldihydrolipoamide + CO(2).,Thiamine pyrophosphate.,Ataxia with lactic acidosis I; MIM:208800.,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC,"[2290, 5830, 3105]","['molecular_function', 'biological_process', 'molecular_function']","['catalytic activity', 'metabolic process', 'pyruvate dehydrogenase (acetyl-transferring) activity']","['GO:0003824', 'GO:0008152', 'GO:0004739']"
3538,5948,1.2.4.1,Pyruvate dehydrogenase (lipoamide).,Pyruvate + lipoamide = S-acetyldihydrolipoamide + CO(2).,Thiamine pyrophosphate.,Ataxia with lactic acidosis I; MIM:208800.,Pyruvate metabolism,Carbohydrate Metabolism,METABOLIC,"[2290, 5830, 3105]","['molecular_function', 'biological_process', 'molecular_function']","['catalytic activity', 'metabolic process', 'pyruvate dehydrogenase (acetyl-transferring) activity']","['GO:0003824', 'GO:0008152', 'GO:0004739']"
3539,5948,1.2.4.1,Pyruvate dehydrogenase (lipoamide).,Pyruvate + lipoamide = S-acetyldihydrolipoamide + CO(2).,Thiamine pyrophosphate.,Ataxia with lactic acidosis I; MIM:208800.,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC,"[2290, 5830, 3105]","['molecular_function', 'biological_process', 'molecular_function']","['catalytic activity', 'metabolic process', 'pyruvate dehydrogenase (acetyl-transferring) activity']","['GO:0003824', 'GO:0008152', 'GO:0004739']"
3540,5950,,,,,,,,,"[3727, 5939]","['molecular_function', 'molecular_function']","['protein binding', 'zinc ion binding']","['GO:0005515', 'GO:0008270']"
3541,5952,3.1.3.2,Acid phosphatase.,An orthophosphoric monoester + H(2)O = an alcohol + phosphate.,\N,Acid phosphatase deficiency; MIM:200950.,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC,[2441],['molecular_function'],['acid phosphatase activity'],['GO:0003993']
3542,5952,3.1.3.2,Acid phosphatase.,An orthophosphoric monoester + H(2)O = an alcohol + phosphate.,\N,Acid phosphatase deficiency; MIM:200950.,Riboflavin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC,[2441],['molecular_function'],['acid phosphatase activity'],['GO:0003993']
3543,5953,3.1.3.2,Acid phosphatase.,An orthophosphoric monoester + H(2)O = an alcohol + phosphate.,\N,Acid phosphatase deficiency; MIM:200950.,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC,[2441],['molecular_function'],['acid phosphatase activity'],['GO:0003993']
3544,5953,3.1.3.2,Acid phosphatase.,An orthophosphoric monoester + H(2)O = an alcohol + phosphate.,\N,Acid phosphatase deficiency; MIM:200950.,Riboflavin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC,[2441],['molecular_function'],['acid phosphatase activity'],['GO:0003993']
3545,5956,3.1.3.2,Acid phosphatase.,An orthophosphoric monoester + H(2)O = an alcohol + phosphate.,\N,Acid phosphatase deficiency; MIM:200950.,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC,"[9985, 2441, 21295]","['molecular_function', 'molecular_function', 'molecular_function']","['hydrolase activity', 'acid phosphatase activity', 'metal ion binding']","['GO:0016787', 'GO:0003993', 'GO:0046872']"
3546,5956,3.1.3.2,Acid phosphatase.,An orthophosphoric monoester + H(2)O = an alcohol + phosphate.,\N,Acid phosphatase deficiency; MIM:200950.,Riboflavin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC,"[9985, 2441, 21295]","['molecular_function', 'molecular_function', 'molecular_function']","['hydrolase activity', 'acid phosphatase activity', 'metal ion binding']","['GO:0016787', 'GO:0003993', 'GO:0046872']"
3547,5957,,,,,,,,,"[4927, 6171, 9320]","['biological_process', 'molecular_function', 'cellular_component']","['transport', 'ammonium transmembrane transporter activity', 'membrane']","['GO:0006810', 'GO:0008519', 'GO:0016020']"
3548,5962,,,,,,,,,[9320],['cellular_component'],['membrane'],['GO:0016020']
3549,5963,3.6.3.14,H(+)-transporting two-sector ATPase.,ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).,\N,\N,ATP synthesis,Energy Metabolism,METABOLIC,"[8445, 9691, 9292, 21355, 21380, 3930, 6204, 9294, 2390, 19729]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'cellular_component', 'molecular_function', 'biological_process', 'molecular_function', 'cellular_component']","['hydrogen ion transmembrane transporter activity', 'proton-transporting two-sector ATPase complex', 'ATP synthesis coupled proton transport', 'hydrogen ion transporting ATP synthase activity, rotational mechanism', 'hydrogen ion transporting ATPase activity, rotational mechanism', 'cytoplasm', 'hydrogen-exporting ATPase activity, phosphorylative mechanism', 'energy coupled proton transport, against electrochemical gradient', 'hydrogen-transporting two-sector ATPase activity', 'proton-transporting ATP synthase complex']","['GO:0015078', 'GO:0016469', 'GO:0015986', 'GO:0046933', 'GO:0046961', 'GO:0005737', 'GO:0008553', 'GO:0015988', 'GO:0003936', 'GO:0045259']"
3550,5963,3.6.3.14,H(+)-transporting two-sector ATPase.,ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).,\N,\N,  Flagellar assembly,\N,\N,"[8445, 9691, 9292, 21355, 21380, 3930, 6204, 9294, 2390, 19729]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'cellular_component', 'molecular_function', 'biological_process', 'molecular_function', 'cellular_component']","['hydrogen ion transmembrane transporter activity', 'proton-transporting two-sector ATPase complex', 'ATP synthesis coupled proton transport', 'hydrogen ion transporting ATP synthase activity, rotational mechanism', 'hydrogen ion transporting ATPase activity, rotational mechanism', 'cytoplasm', 'hydrogen-exporting ATPase activity, phosphorylative mechanism', 'energy coupled proton transport, against electrochemical gradient', 'hydrogen-transporting two-sector ATPase activity', 'proton-transporting ATP synthase complex']","['GO:0015078', 'GO:0016469', 'GO:0015986', 'GO:0046933', 'GO:0046961', 'GO:0005737', 'GO:0008553', 'GO:0015988', 'GO:0003936', 'GO:0045259']"
3551,5963,3.6.3.14,H(+)-transporting two-sector ATPase.,ATP + H(2)O + H(+)(In) = ADP + phosphate + H(+)(Out).,\N,\N,  Type III secretion system,SORTING AND DEGRADATION,REGULATORY,"[8445, 9691, 9292, 21355, 21380, 3930, 6204, 9294, 2390, 19729]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'cellular_component', 'molecular_function', 'biological_process', 'molecular_function', 'cellular_component']","['hydrogen ion transmembrane transporter activity', 'proton-transporting two-sector ATPase complex', 'ATP synthesis coupled proton transport', 'hydrogen ion transporting ATP synthase activity, rotational mechanism', 'hydrogen ion transporting ATPase activity, rotational mechanism', 'cytoplasm', 'hydrogen-exporting ATPase activity, phosphorylative mechanism', 'energy coupled proton transport, against electrochemical gradient', 'hydrogen-transporting two-sector ATPase activity', 'proton-transporting ATP synthase complex']","['GO:0015078', 'GO:0016469', 'GO:0015986', 'GO:0046933', 'GO:0046961', 'GO:0005737', 'GO:0008553', 'GO:0015988', 'GO:0003936', 'GO:0045259']"
3552,5964,3.1.3.48,Protein-tyrosine-phosphatase.,Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate.,\N,\N,\N,\N,\N,"[3091, 3093]","['molecular_function', 'molecular_function']","['protein tyrosine phosphatase activity', 'prenylated protein tyrosine phosphatase activity']","['GO:0004725', 'GO:0004727']"
3553,5966,3.1.1.29,Aminoacyl-tRNA hydrolase.,N-substituted aminoacyl-tRNA + H(2)O = N-substituted amino acid + tRNA.,\N,\N,\N,\N,\N,[2487],['molecular_function'],['aminoacyl-tRNA hydrolase activity'],['GO:0004045']
3554,5968,1.6.99.1,NADPH dehydrogenase.,NADPH + acceptor = NADP(+) + reduced acceptor.,FMN or FAD.,\N,\N,\N,\N,"[7744, 9710, 2412]","['molecular_function', 'molecular_function', 'molecular_function']","['FMN binding', 'oxidoreductase activity', 'NADPH dehydrogenase activity']","['GO:0010181', 'GO:0016491', 'GO:0003959']"
3555,5969,,,,,,,,,[2290],['molecular_function'],['catalytic activity'],['GO:0003824']
3556,5971,,,,,,,,,[13917],['molecular_function'],['heat shock protein binding'],['GO:0031072']
3557,5974,,,,,,,,,"[3043, 3736, 4602, 3045, 3053]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function', 'molecular_function']","['protein kinase activity', 'ATP binding', 'protein amino acid phosphorylation', 'protein serine/threonine kinase activity', 'calmodulin-dependent protein kinase activity']","['GO:0004672', 'GO:0005524', 'GO:0006468', 'GO:0004674', 'GO:0004683']"
3558,5975,1.3.3.6,Acyl-CoA oxidase.,"Acyl-CoA + O(2) = trans-2,3-dehydroacyl-CoA + H(2)O(2).",FAD.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC,"[2445, 3966, 4763, 2443, 4283, 9834, 5830, 4760, 23919]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'biological_process', 'molecular_function', 'biological_process', 'biological_process', 'molecular_function']","['acyl-CoA oxidase activity', 'peroxisome', 'fatty acid beta-oxidation', 'acyl-CoA dehydrogenase activity', 'electron transport', 'oxidoreductase activity, acting on the CH-CH group of donors', 'metabolic process', 'fatty acid metabolic process', 'FAD binding']","['GO:0003997', 'GO:0005777', 'GO:0006635', 'GO:0003995', 'GO:0006118', 'GO:0016627', 'GO:0008152', 'GO:0006631', 'GO:0050660']"
3559,5976,,,,,,,,,"[2176, 2356, 4499]","['molecular_function', 'molecular_function', 'biological_process']","['DNA binding', 'DNA-directed RNA polymerase activity', 'transcription']","['GO:0003677', 'GO:0003899', 'GO:0006350']"
3560,5977,,,,,,,,,"[3043, 3736, 4602, 3708]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function']","['protein kinase activity', 'ATP binding', 'protein amino acid phosphorylation', 'binding']","['GO:0004672', 'GO:0005524', 'GO:0006468', 'GO:0005488']"
3561,5978,,,,,,,,,"[2175, 3736, 5716, 2792]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['nucleic acid binding', 'ATP binding', 'ATP-dependent helicase activity', 'helicase activity']","['GO:0003676', 'GO:0005524', 'GO:0008026', 'GO:0004386']"
3562,5979,,,,,,,,,"[3827, 5939]","['cellular_component', 'molecular_function']","['intracellular', 'zinc ion binding']","['GO:0005622', 'GO:0008270']"
3563,5980,,,,,,,,,"[2196, 3838, 4504, 19030, 21401]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'molecular_function']","['transcription factor activity', 'nucleus', 'regulation of transcription, DNA-dependent', 'sequence-specific DNA binding', 'protein dimerization activity']","['GO:0003700', 'GO:0005634', 'GO:0006355', 'GO:0043565', 'GO:0046983']"
3564,5982,,,,,,,,,"[5053, 9321]","['biological_process', 'cellular_component']","['response to stress', 'integral to membrane']","['GO:0006950', 'GO:0016021']"
3565,5984,5.2.1.8,Peptidylprolyl isomerase.,Peptidylproline (omega=180) = peptidylproline (omega=0).,\N,\N,\N,\N,\N,"[4591, 2233, 2975, 12948, 17567]","['biological_process', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['protein folding', 'peptidyl-prolyl cis-trans isomerase activity', 'cyclophilin', 'FK506-sensitive peptidyl-prolyl cis-trans isomerase', 'cyclophilin-type peptidyl-prolyl cis-trans isomerase activity']","['GO:0006457', 'GO:0003755', 'GO:0004600', 'GO:0030051', 'GO:0042027']"
3566,5985,,,,,,,,,"[2227, 3827, 4025, 4556]","['molecular_function', 'cellular_component', 'cellular_component', 'biological_process']","['structural constituent of ribosome', 'intracellular', 'ribosome', 'translation']","['GO:0003735', 'GO:0005622', 'GO:0005840', 'GO:0006412']"
3567,5986,,,,,,,,,"[3546, 4927, 9320]","['molecular_function', 'biological_process', 'cellular_component']","['transporter activity', 'transport', 'membrane']","['GO:0005215', 'GO:0006810', 'GO:0016020']"
3568,5987,2.7.1.23,NAD(+) kinase.,ATP + NAD(+) = ADP + NADP(+).,\N,\N,Nicotinate and nicotinamide metabolism,Metabolism of Cofactors and Vitamins,METABOLIC,"[2404, 5830]","['molecular_function', 'biological_process']","['NAD+ kinase activity', 'metabolic process']","['GO:0003951', 'GO:0008152']"
